price,repair,year_built_empty,house_age,closest_subway,dist_to_subway,sg,lat,lon,subway_dist_to_center,h3,agent_offers,subway_offers,address_offers,rooms,footage,floor,max_floor,first_floor,last_floor,AO,hm
8100000,3,0,37,59,125,0.0,55.616661,37.745322,17166,861181b4fffffff,2,8,1.0,1,38.0,2,16,0,0,UAO,panel
7800000,2,0,34,59,630,0.0,55.616051,37.753901,17166,861181b4fffffff,1,5,1.0,1,39.0,6,14,0,0,UAO,panel
7250000,2,0,44,59,291,0.0,55.61643,37.739323,17166,861181b6fffffff,1,5,1.0,1,32.5,5,9,0,0,UAO,brick
10500000,2,0,34,59,1050,0.0,55.609253,37.755751,17166,861181b4fffffff,1,8,1.0,2,60.5,4,17,0,0,UAO,panel
9000000,1,0,23,59,486,0.0,55.62011800000001,37.741863,17166,861181b6fffffff,1,8,1.0,1,37.8,11,17,0,0,UAO,panel
7850000,3,0,38,59,962,0.0,55.622294200000006,37.7335547,17166,861181b6fffffff,6,13,1.0,1,39.5,1,12,1,0,UAO,panel
8000000,3,0,43,59,950,0.0,55.62386,37.73837,17166,861181b6fffffff,3,9,1.0,1,33.0,4,9,0,0,UAO,panel
6800000,3,0,43,59,1031,0.0,55.6224759,37.7554411,17166,861181b4fffffff,1,11,1.0,1,32.6,4,9,0,0,UAO,panel
10500000,2,0,44,59,831,0.0,55.61652,37.73067,17166,861181b6fffffff,13,5,1.0,2,53.7,8,16,0,0,UAO,panel
9500000,3,0,43,59,396,0.0,55.6183262,37.7484787,17166,861181b4fffffff,6,9,1.0,2,45.0,9,9,0,1,UAO,panel
9100000,2,0,44,59,849,0.0,55.621994,37.752014,17166,861181b4fffffff,13,5,1.0,2,47.0,11,12,0,0,UAO,panel
9200000,1,0,34,59,1160,0.0,55.6093345,37.7582183,17166,861181b4fffffff,2,13,1.0,2,50.9,14,17,0,0,UAO,panel
7000000,3,0,42,59,960,0.0,55.60900899999999,37.734632,17166,861181b6fffffff,1,11,1.0,1,39.0,2,12,0,0,UAO,panel
7000000,1,0,32,59,1104,0.0,55.60643,37.749184,17166,861181b4fffffff,1,9,1.0,1,38.0,14,17,0,0,UAO,panel
7850000,2,0,38,59,962,0.0,55.622294200000006,37.7335547,17166,861181b6fffffff,5,9,2.0,1,40.0,1,12,1,0,UAO,panel
7850000,2,0,38,59,962,0.0,55.622294200000006,37.7335547,17166,861181b6fffffff,2,9,1.0,1,39.5,1,12,1,0,UAO,panel
9800000,2,0,24,59,1146,0.0,55.620926,37.759792,17166,861181b4fffffff,1,6,1.0,2,52.0,17,17,0,1,UAO,panel
10300000,2,0,44,59,367,0.0,55.615772,37.73801,17166,861181b6fffffff,1,11,1.0,2,46.0,3,9,0,0,UAO,panel
10400000,3,0,43,59,857,0.0,55.6232024,37.7482036,17166,861181b4fffffff,1,13,2.0,2,51.2,4,12,0,0,UAO,panel
9740000,2,0,43,59,857,0.0,55.6232024,37.7482036,17166,861181b4fffffff,1,13,2.0,2,52.0,2,12,0,0,UAO,panel
10300000,2,0,34,59,972,0.0,55.60750400000001,37.748196,17166,861181b4fffffff,1,5,1.0,2,54.0,5,17,0,0,UAO,panel
9550000,2,0,40,59,1549,0.0,55.602036,37.74134,17166,861181b4fffffff,1,6,1.0,2,48.0,1,9,1,0,UAO,block
9000000,2,0,43,59,1328,0.0,55.604783,37.736096,17166,861181b4fffffff,1,9,1.0,2,51.8,5,12,0,0,UAO,block
6300000,2,1,36,59,1117,0.0,55.62322660000001,37.7316934,17166,861181b6fffffff,1,13,1.0,1,34.8,14,16,0,0,UAO,panel
11100000,3,0,33,59,840,0.0,55.610321,37.752895,17166,861181b4fffffff,3,11,1.0,2,53.7,7,17,0,0,UAO,panel
7300000,2,0,44,59,550,0.0,55.620487,37.747135,17166,861181b4fffffff,1,13,1.0,1,33.0,5,9,0,0,UAO,panel
10990000,2,0,35,59,150,0.0,55.6171153,37.7428295,17166,861181b6fffffff,1,8,1.0,2,59.0,18,22,0,0,UAO,panel
9200000,2,0,34,59,791,0.0,55.62133299999999,37.735728,17166,861181b6fffffff,1,11,1.0,1,38.0,9,17,0,0,UAO,panel
6700000,1,0,43,59,888,0.0,55.622812,37.736779,17166,861181b6fffffff,1,11,1.0,1,32.1,3,9,0,0,UAO,panel
8300000,2,0,43,59,881,0.0,55.6081042,37.741282,17166,861181b4fffffff,1,9,1.0,2,46.0,1,9,1,0,UAO,panel
10100000,2,0,43,59,381,0.0,55.614836,37.749643,17166,861181b4fffffff,1,9,1.0,2,52.0,2,12,0,0,UAO,panel
10000000,2,0,44,59,895,0.0,55.619233,37.730895,17166,861181b6fffffff,1,9,1.0,2,53.3,11,16,0,0,UAO,panel
10500000,2,0,33,59,1275,0.0,55.604603,37.7473809,17166,861181b4fffffff,1,5,1.0,2,58.0,8,17,0,0,UAO,panel
8500000,2,0,34,59,1179,0.0,55.6106716,37.7601949,17166,861181b4fffffff,1,13,1.0,1,37.6,12,17,0,0,UAO,panel
9200000,2,0,34,59,745,0.0,55.615795,37.755726,17166,861181b4fffffff,1,9,1.0,2,54.0,11,17,0,0,UAO,panel
9000000,2,0,34,59,1526,0.0,55.60217320000001,37.7443651,17166,861181b4fffffff,1,9,1.0,2,52.5,1,14,1,0,UAO,panel
7700000,2,0,43,59,950,0.0,55.62386,37.73837,17166,861181b6fffffff,1,9,1.0,1,32.9,4,9,0,0,UAO,panel
7800000,3,0,33,59,828,0.0,55.6174347,37.756764,17166,861181b4fffffff,1,9,1.0,1,39.0,1,14,1,0,UAO,panel
9600000,2,0,33,59,840,0.0,55.610321,37.752895,17166,861181b4fffffff,1,8,1.0,2,54.0,5,17,0,0,UAO,panel
8200000,4,0,43,59,857,0.0,55.6232024,37.7482036,17166,861181b4fffffff,1,9,1.0,1,39.0,9,12,0,0,UAO,panel
10500000,1,0,38,59,962,0.0,55.622294200000006,37.7335547,17166,861181b6fffffff,1,9,1.0,2,52.3,12,12,0,1,UAO,brick
9900000,2,0,43,59,993,0.0,55.6229104,37.7536574,17166,861181b4fffffff,1,9,1.0,2,47.0,2,12,0,0,UAO,panel
10500000,2,0,33,59,1599,0.0,55.60153199999999,37.742554,17166,861181b4fffffff,1,11,1.0,2,52.2,3,14,0,0,UAO,panel
7000000,2,0,44,59,583,0.0,55.619675,37.73741500000001,17166,861181b6fffffff,1,11,1.0,1,36.2,1,9,1,0,UAO,panel
7100000,2,0,34,59,1212,0.0,55.605576,37.750084,17166,861181b4fffffff,1,8,1.0,1,38.0,4,17,0,0,UAO,panel
10200000,2,0,23,59,486,0.0,55.62011800000001,37.741863,17166,861181b6fffffff,1,1,1.0,2,52.0,15,17,0,0,UAO,panel
10300000,2,0,32,59,1126,0.0,55.6099144,37.7583315,17166,861181b4fffffff,2,8,1.0,2,56.0,9,17,0,0,UAO,panel
9700000,2,0,34,59,882,0.0,55.61675279999999,37.7578294,17166,861181b4fffffff,5,8,1.0,2,51.1,2,14,0,0,UAO,panel
7900000,2,0,33,59,828,0.0,55.6174347,37.756764,17166,861181b4fffffff,3,13,1.0,1,38.8,3,14,0,0,UAO,panel
10300000,2,0,43,59,638,0.0,55.6102066,37.7424953,17166,861181b4fffffff,13,9,2.0,2,52.0,5,12,0,0,UAO,panel
9000000,2,0,43,59,785,0.0,55.6091073,37.74043,17166,861181b4fffffff,37,8,2.0,2,44.2,6,9,0,0,UAO,panel
8600000,3,0,57,81,491,0.0,55.70984,37.761894,10612,8611aa6a7ffffff,1,10,1.0,2,45.0,5,5,0,1,UVAO,panel
8000000,2,0,58,81,573,0.0,55.70914499999999,37.769756,10612,8611aa6a7ffffff,1,35,1.0,2,47.0,5,5,0,1,UVAO,panel
8290000,2,0,56,81,952,0.0,55.7137305,37.7674762,10612,8611aa6a7ffffff,2,21,1.0,2,47.0,3,5,0,0,UVAO,panel
14500000,1,0,0,81,385,0.0,55.7029558,37.76749210000001,10612,8611aa6a7ffffff,1,18,2.0,2,61.0,7,15,0,0,UVAO,monolith
14300000,1,0,0,81,385,0.0,55.7029558,37.76749210000001,10612,8611aa6a7ffffff,1,21,1.0,2,61.0,8,15,0,0,UVAO,monolith
8700000,2,0,58,81,785,0.0,55.7060845,37.7508104,10612,8611aa6a7ffffff,292,35,1.0,2,45.1,4,5,0,0,UVAO,panel
8000000,2,0,57,81,1095,0.0,55.69801999999999,37.77469,10612,8611aa6a7ffffff,292,35,1.0,2,41.5,1,5,1,0,UVAO,panel
15000000,2,0,12,81,199,0.0,55.70705,37.761707,10612,8611aa6a7ffffff,292,35,1.0,2,60.0,11,17,0,0,UVAO,panel
13000000,2,0,14,81,968,0.0,55.713562,37.757476,10612,8611aa6a7ffffff,292,35,2.0,2,55.0,6,17,0,0,UVAO,panel
8000000,2,0,55,81,795,0.0,55.698371,37.762192,10612,8611aa6a7ffffff,292,35,1.0,2,40.0,7,9,0,0,UVAO,block
8200000,2,0,56,81,694,0.0,55.710033,37.770897,10612,8611aa6a7ffffff,65,14,1.0,2,38.0,8,9,0,0,UVAO,block
14300000,3,0,12,81,1329,0.0,55.71482,37.750029,10612,8611aa6a7ffffff,292,35,1.0,2,66.2,25,25,0,1,UVAO,monolith
8100000,2,0,58,81,647,0.0,55.7056993,37.752974,10612,8611aa6a7ffffff,292,35,3.0,2,42.3,5,5,0,1,UVAO,panel
12400000,2,0,14,81,968,0.0,55.713562,37.757476,10612,8611aa6a7ffffff,292,35,2.0,2,54.4,17,17,0,1,UVAO,panel
8000000,4,0,59,81,826,0.0,55.69975279999999,37.7716751,10612,8611aa6a7ffffff,62,28,1.0,2,45.0,5,5,0,1,UVAO,panel
7900000,3,0,56,81,694,0.0,55.710033,37.770897,10612,8611aa6a7ffffff,292,35,2.0,2,38.0,8,9,0,0,UVAO,block
7700000,2,0,56,81,698,0.0,55.709873,37.771275,10612,8611aa6a7ffffff,36,18,1.0,2,37.4,7,9,0,0,UVAO,block
8200000,2,0,58,81,390,0.0,55.70238739999999,37.7603984,10612,8611aa6a7ffffff,292,35,1.0,2,37.1,9,9,0,1,UVAO,panel
16200000,3,0,24,81,243,0.0,55.7056498,37.7594177,10612,8611aa6a7ffffff,292,35,2.0,2,67.0,16,20,0,0,UVAO,brick
8900000,3,0,58,81,1398,0.0,55.6978415,37.7809993,10612,8611aa6a7ffffff,66,18,1.0,2,45.1,2,9,0,0,UVAO,block
9650000,4,0,54,81,923,0.0,55.7078837,37.7774085,10612,8611aa6a7ffffff,146,24,1.0,2,45.0,10,12,0,0,UVAO,block
12700000,3,0,14,81,968,0.0,55.713562,37.757476,10612,8611aa6a7ffffff,218,21,1.0,2,55.0,17,17,0,1,UVAO,panel
11200000,3,0,15,81,696,0.0,55.711417,37.7597158,10612,8611aa6a7ffffff,218,21,1.0,1,40.3,15,15,0,1,UVAO,monolith
8500000,4,0,55,81,736,0.0,55.7018238,37.7730825,10612,8611aa6a7ffffff,196,18,1.0,2,41.0,11,12,0,0,UVAO,panel
14900000,2,0,18,81,691,0.0,55.7037053,37.7527274,10612,8611aa6a7ffffff,218,21,1.0,2,76.1,7,9,0,0,UVAO,panel
11500000,3,0,15,81,521,0.0,55.7010803,37.7605027,10612,8611aa6a7ffffff,146,24,1.0,2,56.0,8,14,0,0,UVAO,panel
13700000,2,0,6,81,368,0.0,55.70414,37.76866,10612,8611aa6a7ffffff,218,21,1.0,2,61.5,23,24,0,0,UVAO,panel
14000000,3,0,24,81,550,0.0,55.7041626,37.7548422,10612,8611aa6a7ffffff,218,21,2.0,2,60.0,9,14,0,0,UVAO,panel
8300000,2,0,55,81,844,0.0,55.710027,37.752481,10612,8611aa6a7ffffff,205,15,1.0,2,42.9,3,5,0,0,UVAO,panel
6900000,1,0,58,81,472,0.0,55.70560079999999,37.77083560000001,10612,8611aa6a7ffffff,92,18,1.0,1,31.9,3,5,0,0,UVAO,panel
8100000,2,0,58,81,647,0.0,55.7056993,37.752974,10612,8611aa6a7ffffff,92,18,1.0,2,42.3,5,5,0,1,UVAO,panel
8500000,2,0,59,81,1612,0.0,55.69828,37.78562,10612,8611aa6a7ffffff,196,18,1.0,2,45.0,1,5,1,0,UVAO,panel
7800000,2,0,58,81,331,0.0,55.7061,37.76848,10612,8611aa6a7ffffff,218,21,1.0,1,32.0,3,5,0,0,UVAO,panel
7900000,2,0,57,81,1095,0.0,55.69801999999999,37.77469,10612,8611aa6a7ffffff,53,28,1.0,2,41.5,1,5,1,0,UVAO,panel
15500000,2,0,12,81,199,0.0,55.70705,37.761707,10612,8611aa6a7ffffff,35,15,2.0,2,62.8,11,17,0,0,UVAO,panel
12200000,2,0,18,81,787,0.0,55.70316170000001,37.7514357,10612,8611aa6a7ffffff,9,18,1.0,2,58.0,3,16,0,0,UVAO,panel
13800000,2,0,1,81,955,0.0,55.7070096,37.7783012,10612,8611aa6a7ffffff,2,18,1.0,2,58.0,10,17,0,0,UVAO,monolith
7970000,2,0,58,81,130,0.0,55.70663879999999,37.7637685,10612,8611aa6a7ffffff,1,28,1.0,2,43.0,3,5,0,0,UVAO,panel
8000000,2,0,58,81,1852,0.0,55.698772,37.790337,10612,8611aa6a7ffffff,1,10,1.0,2,44.7,5,5,0,1,UVAO,panel
7000000,2,0,50,81,964,0.0,55.7045691,37.7786004,10612,8611aa6a7ffffff,1,15,1.0,1,31.0,4,17,0,0,UVAO,panel
8300000,2,0,58,81,598,0.0,55.7012171,37.7691003,10612,8611aa6a7ffffff,1,24,1.0,2,42.0,5,5,0,1,UVAO,panel
8000000,2,0,58,81,195,0.0,55.7056168,37.7601899,10612,8611aa6a7ffffff,1,28,1.0,1,31.4,3,9,0,0,UVAO,block
8200000,2,0,58,81,1845,0.0,55.6974684,37.7890751,10612,8611aa6a7ffffff,1,18,1.0,2,45.6,5,5,0,1,UVAO,panel
8250000,2,0,59,81,796,0.0,55.7009224,37.7730825,10612,8611aa6a7ffffff,1,28,1.0,2,44.8,2,5,0,0,UVAO,panel
8500000,2,0,58,81,510,0.0,55.705685,37.755157,10612,8611aa6a7ffffff,1,18,1.0,2,45.0,2,5,0,0,UVAO,panel
